mcc,mnc,lac,cellid,lat,lon,signal,measured_at,rating,speed,direction,act,ta,psc,tac,pci,sid,nid,bid
404,22,55719,63771915,18.5416732,73.7278849,-74,1774195639756,82.5,0.0,0.0,LTE,3,,55719,75,,,
404,22,55719,63771915,18.5425276,73.7281879,-72,1774195644927,2.9,1.9578075,320.99106,LTE,3,,55719,75,,,
404,22,55719,63771915,18.5425004,73.7282183,-73,1774195649481,4.2,0.88146985,152.02798,LTE,3,,55719,75,,,
404,22,55719,63771915,18.5424618,73.7282677,-73,1774195654074,4.5,1.212634,93.587975,LTE,3,,55719,75,,,
404,22,55719,63771915,18.5424119,73.7283186,-72,1774195659636,3.4,0.97313863,157.70708,LTE,3,,55719,75,,,
404,22,55719,63771915,18.5423507,73.7283132,-68,1774195664454,3.6,0.95814425,186.3194,LTE,3,,55719,75,,,
404,22,55719,63771915,18.5423081,73.7283067,-70,1774195669059,3.9,1.0500284,181.40663,LTE,3,,55719,75,,,
404,22,55719,63771915,18.5422567,73.7283062,-70,1774195674699,5.1,0.98349035,176.82364,LTE,3,,55719,75,,,
404,22,55719,63771915,18.5421479,73.7283885,-77,1774195685236,3.9,1.0655563,166.01796,LTE,3,,55719,75,,,
404,22,55719,63771915,18.5421157,73.7284328,-75,1774195690211,3.7,0.98662,151.80711,LTE,3,,55719,75,,,
404,22,55719,63771915,18.5420768,73.7284666,-74,1774195695597,3.6,1.1002439,174.57999,LTE,4,,55719,75,,,
404,22,55719,63771915,18.5420311,73.7284755,-75,1774195700680,4.8,0.9584411,137.97507,LTE,4,,55719,75,,,
404,22,55719,63771915,18.5420008,73.7285124,-77,1774195706593,5.7,0.8589985,154.49518,LTE,4,,55719,75,,,
404,22,55719,63771915,18.5419938,73.7285583,-79,1774195711615,6.4,0.7248454,60.356155,LTE,4,,55719,75,,,
404,22,55719,63771915,18.5420297,73.7285732,-79,1774195716560,5.7,0.2888589,55.529736,LTE,4,,55719,75,,,
404,22,55719,63771915,18.5420332,73.7285771,-80,1774195721585,5.4,0.15887307,49.783005,LTE,4,,55719,75,,,
404,22,55719,63771915,18.5420359,73.7285847,-77,1774195726629,5.0,0.065957196,0.0,LTE,4,,55719,75,,,
404,22,55719,63771915,18.542034,73.7285901,-80,1774195731555,4.8,0.2089738,138.94023,LTE,4,,55719,75,,,
404,22,55719,63771915,18.5420058,73.7286008,-76,1774195736113,3.6,0.4084842,219.068,LTE,4,,55719,75,,,
404,22,55719,63771915,18.5420007,73.7286109,-76,1774195741478,4.2,0.2896374,106.182915,LTE,4,,55719,75,,,
404,22,55719,14135819,18.5419786,73.7286252,-81,1774195746150,4.8,0.7118137,142.27658,LTE,5,,55719,90,,,
404,22,55719,14135819,18.5419337,73.7286283,-78,1774195750795,5.2,0.6934962,160.90974,LTE,4,,55719,90,,,
404,22,55719,14135819,18.541887,73.7286655,-79,1774195755457,6.2,0.95267487,154.03932,LTE,4,,55719,90,,,
404,22,55719,14135819,18.5418234,73.7287357,-84,1774195761115,6.4,1.1928775,138.57323,LTE,4,,55719,90,,,
404,22,55719,14135819,18.5417735,73.7287797,-83,1774195765720,6.1,1.1073023,138.95522,LTE,4,,55719,90,,,
404,22,55719,14135819,18.5417532,73.7288171,-80,1774195770832,6.2,1.0083812,122.290596,LTE,4,,55719,90,,,
404,22,55719,14135819,18.5417013,73.7288546,-84,1774195776276,5.7,1.2551947,141.34737,LTE,4,,55719,90,,,
404,22,55719,14135819,18.5416434,73.7288483,-78,1774195781115,4.4,1.1379638,162.92336,LTE,4,,55719,90,,,
404,22,55719,14135819,18.5416056,73.728882,-71,1774195786198,4.9,1.1032507,145.43288,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5415711,73.7289102,-76,1774195790859,6.2,1.0380284,137.65283,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5415316,73.7289598,-80,1774195795759,6.0,1.1193541,134.55821,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5414891,73.7290112,-78,1774195800674,5.9,1.1552567,137.7737,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5414619,73.7290635,-76,1774195805216,6.1,1.0977579,144.85806,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5414146,73.7290969,-74,1774195810878,6.1,1.080109,128.07881,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5413977,73.7291464,-76,1774195815432,6.2,1.0121822,116.4888,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5413606,73.7291895,-77,1774195819959,6.3,1.0595223,125.26174,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5413279,73.7292149,-70,1774195824680,6.2,1.0703987,136.29071,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5412807,73.7292497,-80,1774195829557,6.3,1.1978893,131.10359,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5412255,73.7292815,-80,1774195834552,6.3,1.138438,139.60411,LTE,3,,55719,90,,,
404,22,55719,14135819,18.5411838,73.7293258,-81,1774195839575,6.1,1.1476046,168.10605,LTE,3,,55719,90,,,
404,22,55719,63771405,18.5411277,73.7293536,-44,1774195844638,6.2,1.2470484,148.21693,LTE,1282,,55719,170,,,
404,22,55719,63771405,18.541086,73.7293938,-72,1774195849233,6.5,1.1607618,135.28195,LTE,3,,55719,170,,,
404,22,55719,63771405,18.5410447,73.7294287,-72,1774195853779,6.8,1.1535251,136.9976,LTE,3,,55719,170,,,
404,22,55719,63771405,18.5409977,73.7294611,-75,1774195858880,5.8,1.0994188,152.78047,LTE,3,,55719,170,,,
