sim,radiotype,radio,mcc,mnc,area,cellid,unit,lat,lon,signal,extra,acc,time,speed,bearing,alt,api,device
2,NR,5G(SA),405,864,144,3231088640,534,18.5411558,73.7280477,-85,,13.8,1771751365121,1.0,273.6,553.8,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5411822,73.7280452,-78,,12.6,1771751370384,0.5,351.0,553.8,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5412151,73.7280503,-87,,11.9,1771751375620,0.4,40.6,553.8,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5412188,73.7280198,-93,,8.0,1771751382061,0.2,31.1,553.8,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5412261,73.7280059,-93,,7.8,1771751388982,0.2,356.7,553.8,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5412437,73.72799,-82,,7.1,1771751394162,0.3,65.5,553.8,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5412374,73.7279942,-82,,6.6,1771751398728,0.2,204.6,553.8,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5412334,73.7279866,-117,,6.6,1771751408597,0.0,0.0,553.8,35,Nothing_A142
2,LTE,LTE,405,864,144,4687665,385,18.5412266,73.7279861,-111,0,7.0,1771751414814,0.1,217.7,546.4,35,Nothing_A142
2,LTE,LTE,405,864,144,4687665,385,18.5412217,73.7279886,-114,1,6.8,1771751419858,0.1,0.0,546.4,35,Nothing_A142
2,LTE,LTE,405,864,144,4687665,385,18.5412185,73.7279877,-110,4,6.8,1771751424962,0.2,259.2,546.4,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055889,214,18.541214,73.7279881,-95,,7.2,1771751430220,0.2,255.4,542.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5412078,73.7279591,-79,,8.0,1771751435158,0.7,223.4,542.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5411653,73.7279388,-74,,8.2,1771751440162,0.9,215.9,542.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5411195,73.7279199,-75,,8.7,1771751444843,1.1,209.2,542.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5410358,73.7279108,-78,,9.0,1771751450465,1.0,201.5,542.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5409677,73.7278812,-69,,7.7,1771751455366,1.1,206.7,542.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.540906,73.7278625,-66,,6.9,1771751459967,1.0,168.5,542.3,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5408468,73.7278812,-71,,6.0,1771751464639,1.1,128.9,544.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5408156,73.7279309,-76,,6.2,1771751469800,1.1,110.1,544.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231055873,34,18.5408038,73.7279947,-73,,6.2,1771751474545,1.0,103.5,545.4,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.540796,73.7280644,-81,,5.9,1771751479587,1.2,99.5,544.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.540776,73.7281538,-81,,6.0,1771751484542,1.4,117.6,545.2,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5407529,73.728237,-81,,5.9,1771751489801,1.4,131.2,545.2,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5407379,73.7283044,-85,,5.8,1771751494786,1.2,117.2,545.2,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.540728,73.7283762,-84,,6.1,1771751499781,1.3,111.1,545.2,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.540721,73.7284419,-85,,5.8,1771751504326,1.3,112.2,553.8,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5406791,73.7284859,-87,,5.9,1771751509594,1.3,149.7,547.1,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5406041,73.7284863,-92,,5.7,1771751514583,1.1,168.2,547.1,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5405445,73.7285048,-90,,6.3,1771751519479,1.3,135.7,547.1,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5405033,73.728535,-87,,6.6,1771751524466,1.1,128.3,548.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5404651,73.7285597,-90,,6.8,1771751529266,1.1,135.0,548.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5404816,73.7286113,-90,,6.3,1771751534065,1.1,41.9,548.7,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5405118,73.7286635,-89,,6.8,1771751538715,0.6,289.9,549.9,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5405979,73.7286584,-91,,10.1,1771751543586,1.2,330.5,553.1,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5406596,73.7286991,-90,,10.3,1771751548747,1.3,317.0,552.8,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.5407175,73.7287056,-93,,7.2,1771751553399,1.2,21.8,549.9,35,Nothing_A142
2,NR,5G(SA),405,864,144,3231088640,534,18.540772,73.728734,-93,,6.0,1771751558201,1.1,14.2,552.8,35,Nothing_A142
2,NR,5G(SA),405,864,144,3286482945,463,18.5408225,73.7287448,-90,,4.4,1771751562764,1.2,1.9,552.8,35,Nothing_A142
2,NR,5G(SA),405,864,144,3286482945,463,18.5408738,73.7287766,-99,,4.4,1771751567948,1.2,17.9,552.4,35,Nothing_A142
